source_id,source_title,institution,source_level,source_type,publication_date,publication_date_precision,url,access_date,archive_url,document_number,author,publisher,language,source_status,notes
[SRC-2024-0018],Federal Republic of Nigeria Official Gazette Vol. 111 No. 56 (Student Loan Act 2024),Federal Government of Nigeria,LEVEL_1,gazette,2024-04-03,exact_day,https://gazettes.gov.ng/2024/no56,2024-08-15,https://web.archive.org/web/20240404/gazette56,FGN-GAZ-2024-56,National Assembly,Federal Government Printer,en,active,Statutory act repealing and re-enacting student loans scheme
[SRC-2024-0019],NELFUND Public Disbursement Portal and University Fee Remittance Dossier,National Student Financial Aid Scheme,LEVEL_2,agency_portal,2024-08-10,exact_day,https://nelfund.gov.ng/disbursements,2024-08-15,https://web.archive.org/web/20240811/nelfund-disburse,NELFUND-DISB-2024-08,Executive Secretary Desk,NELFUND,en,active,Disbursement logs across 100+ public tertiary institutions
[SRC-2024-0020],UBEC Universal Basic Education Matching Grant Financial and Civil Works Audit,Universal Basic Education Commission,LEVEL_2,audit_report,2024-06-15,exact_day,https://ubec.gov.ng/matching-grants-2024,2024-08-15,https://web.archive.org/web/20240616/ubec-grants,UBEC-AR-2024-02,Department of Planning Research and Statistics,UBEC,en,active,Over N50 Billion matching grants released to 36 states
[SRC-2024-0021],Federal Republic of Nigeria Official Gazette Vol. 111 No. 72 (Executive Order 041),Federal Government of Nigeria,LEVEL_1,gazette,2024-06-28,exact_day,https://gazettes.gov.ng/2024/no72,2024-08-15,https://web.archive.org/web/20240629/gazette72,FGN-GAZ-2024-72,Presidency,Federal Government Printer,en,active,Zero tariffs on active pharmaceutical ingredients and medical equipment
[SRC-2024-0022],NPHCDA Primary Health Care Facility Upgrading and Solarisation Report,National Primary Health Care Development Agency,LEVEL_2,audit_report,2024-05-15,exact_day,https://nphcda.gov.ng/phc-revitalisation,2024-08-15,https://web.archive.org/web/20240516/nphcda-phc,NPHCDA-REP-2024-01,Planning and Civil Works Department,NPHCDA,en,active,Solar power installation on 2500 primary health centres
[SRC-2024-0023],Bank of Industry Presidential Conditional Grant Scheme Payment Verification Log,Bank of Industry,LEVEL_2,agency_portal,2024-07-25,exact_day,https://boi.ng/pcgs-verification-log,2024-08-15,https://web.archive.org/web/20240726/boi-pcgs,BOI-PCGS-2024-07,MSME Directorate,Bank of Industry,en,active,Disbursement of N50000 grants to 1000000 nano businesses
[SRC-2024-0024],CREDICORP Operational Pilot Disbursement Report,CREDICORP,LEVEL_2,agency_portal,2024-08-05,exact_day,https://credicorp.ng/reports/pilot-disbursements,2024-08-15,https://web.archive.org/web/20240806/credicorp-pilot,CREDICORP-REP-2024-01,Credit Operations Desk,CREDICORP,en,active,Over 25000 initial consumer credit disbursements
[SRC-2024-0025],World Bank Nigeria Development Update and Social Safety Net Project Review,World Bank,LEVEL_3,multilateral_report,2024-05-01,exact_day,https://www.worldbank.org/en/country/nigeria/publication/nigeria-development-update,2024-08-15,https://web.archive.org/web/20240502/worldbank-ndu,WB-NDU-2024-MAY,World Bank Nigeria Macroeconomics Team,World Bank Group,en,active,Biometric cleaning of social register and cash transfer audit
[SRC-2024-0026],Federal Executive Council Approval Memo on NYIF Restructuring,Federal Ministry of Youth Development,LEVEL_1,executive_order,2024-05-22,exact_day,https://youthdevelopment.gov.ng/nyif-recapitalisation,2024-08-15,https://web.archive.org/web/20240523/nyif-memo,FEC-MEMO-2024-YD04,Hon Minister of Youth,Federal Executive Council,en,active,Recapitalization of NYIF to N110 Billion
[SRC-2024-0027],SMEDAN and Ministry of Youth Zonal Enterprise Cluster Operations Bulletin,SMEDAN,LEVEL_2,ministerial_statement,2024-07-10,exact_day,https://smedan.gov.ng/youth-enterprise-clusters,2024-08-15,https://web.archive.org/web/20240711/smedan-clusters,SMEDAN-YEC-2024-01,Enterprise Development Directorate,SMEDAN,en,active,10000 youth trained in agro-processing and ICT clusters
[SRC-2024-0028],Supreme Court of Nigeria Judgment in SC/CV/343/2024 (AG Federation v AG Abia & 35 Ors),Supreme Court of Nigeria,LEVEL_1,court_ruling,2024-07-11,exact_day,https://supremecourt.gov.ng/judgments/2024/sccv343,2024-08-15,https://web.archive.org/web/20240712/supremecourt-lga,SC/CV/343/2024,Full Bench of the Supreme Court,Supreme Court of Nigeria Law Reports,en,active,Enforcement of direct local government financial autonomy
[SRC-2024-0029],Office of the Head of Civil Service IPPIS Payroll Verification Audit Report,Office of the Head of the Civil Service of the Federation,LEVEL_2,audit_report,2024-03-31,exact_day,https://ohcsf.gov.ng/ippis-audit-2024,2024-08-15,https://web.archive.org/web/20240401/ohcsf-ippis,OHCSF-AUD-2024-01,Special Audit Taskforce,OHCSF,en,active,Removal of 50000 unverified payroll entries saving N120 Billion annually
[SRC-2024-0030],Joint Bilateral Aviation Communique of Nigeria and UAE,Federal Ministry of Aviation and Aerospace Development,LEVEL_1,executive_order,2024-07-15,exact_day,https://aviation.gov.ng/nigeria-uae-bilateral-accord,2024-08-15,https://web.archive.org/web/20240716/aviation-uae,FMAAD-BIL-2024-01,Federal Government of Nigeria and UAE Civil Aviation Authority,Joint Diplomatic Mission,en,active,Resumption of commercial flights and visa normalization
[SRC-2024-0031],IMF Nigeria 2024 Article IV Consultation Staff Report,International Monetary Fund,LEVEL_3,multilateral_report,2024-05-10,exact_day,https://www.imf.org/en/Publications/CR/Issues/2024/05/10/Nigeria-2024-Article-IV-Consultation-548769,2024-08-15,https://web.archive.org/web/20240511/imf-nigeria-article-iv,IMF-CR-24/112,African Department,International Monetary Fund,en,active,Independent appraisal of FX unification and tax reforms
[SRC-2024-0032],NBS Foreign Trade in Goods Statistics Q1 2024,National Bureau of Statistics,LEVEL_2,statistical_bulletin,2024-06-08,exact_day,https://nigerianstat.gov.ng/elibrary/read/1241452,2024-08-15,https://web.archive.org/web/20240609/nbs-trade-q1-2024,NBS-TRD-2024-Q1,Trade and Macroeconomic Statistics Division,NBS,en,active,NBS statistical bulletin verifying trade surplus expansion
[SRC-2024-0033],CBN Monthly Economic Report June 2024 (Gross External Reserves),Central Bank of Nigeria,LEVEL_2,economic_report,2024-07-31,exact_day,https://www.cbn.gov.ng/documents/quarterlyeconomicreports.asp,2024-08-15,https://web.archive.org/web/20240801/cbn-econ-report-june,CBN-MER-2024-06,Research Department,Central Bank of Nigeria,en,active,Official external reserves balance of USD 38.5 Billion
[SRC-2024-0034],Premium Times Investigative Special Report on Student Loan Implementation,Premium Times,LEVEL_4,investigative_report,2024-08-12,exact_day,https://www.premiumtimesng.com/news/top-news/722145-investigation-student-loan-disbursements.html,2024-08-15,https://web.archive.org/web/20240813/pt-student-loans,PT-INV-2024-722145,Investigations Desk,Premium Times Services Ltd,en,active,Independent campus verification of NELFUND fee disbursements
[SRC-2024-0035],BusinessDay Financial Intelligence on Non-Oil Tax Collections,BusinessDay Nigeria,LEVEL_4,investigative_report,2024-02-15,exact_day,https://businessday.ng/news/article/inside-firs-record-tax-haul,2024-08-15,https://web.archive.org/web/20240216/bd-firs-tax,BD-FIN-2024-0215,Fiscal Desk,BusinessDay Media,en,active,Independent analysis of corporate tax and VAT growth
