achievement_id,title,summary,public_navigation_group,sector,subsector,status,evidence_profile,data_value_nature,source_origin,verification_status,publication_status,responsible_institutions,geographic_scope,states_covered,date,date_precision,reported_outcomes,notes
[ACH-2023-0011],"Inauguration of the National Council for Digital Innovation and Entrepreneurship","President Tinubu inaugurated the statutory National Council for Digital Innovation and Entrepreneurship (NCDIE) to formally operationalize the Nigeria Startup Act 2022 and oversee the N10 Billion Startup Investment Fund.",economy,digital_economy_science_innovation,startup_ecosystem_governance,operational,institutional_reform_milestone,actual,government_reported,independently_corroborated,published,Presidency|Federal Ministry of Communications Innovation and Digital Economy,national,National,2024-06-04,exact_day,"Council inaugurated with public-private participation to administer regulatory sandboxes and tax reliefs",State House communique and gazetted charter
[ACH-2024-0012],"Construction and Pavement Engineering on the 700km Lagos-Calabar Coastal Highway (Section 1)","Federal Ministry of Works awarded and commenced construction on the 47.47km Section 1 (Ahmadu Bello Way Victoria Island to Eleko Beach) of the 10-lane Lagos-Calabar Coastal Highway using continuously reinforced concrete pavement (CRCP).",infrastructure,infrastructure_transportation,highways_and_arterial_roads,implementation_ongoing,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Federal Ministry of Works|Hitech Construction Company Ltd,corridor,Lagos|Ogun,2024-03-01,exact_day,"Pavement sandfilling, bridge foundation piling, and dual-carriageway concrete paving on first 10km",On-site verified civil engineering progress documented by Ministry of Works inspections
[ACH-2024-0013],"Rehabilitation and Commercial Operations Recommencement of the Abuja Light Rail (Metro) Network","President Tinubu commissioned the rehabilitated 27.2km Abuja Light Rail (Lot 1B and Lot 3) with 12 modern train stations and approved two months of free passenger operations for FCT commuters.",infrastructure,infrastructure_transportation,railways_and_urban_transit,operational,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Federal Capital Territory Administration|Federal Ministry of Transportation,city_town,Abuja FCT,2024-05-29,exact_day,"Full commercial operations resumed across Abuja Metro with daily passenger ridership exceeding 15000",Presidential commissioning and FCTA transportation operational logs
[ACH-2024-0014],"Recommencement of Commercial Passenger and Freight Rail Operations on Port Harcourt - Aba Corridor","The Nigerian Railway Corporation completed track rehabilitation and recommenced scheduled commercial train services on the 62km Port Harcourt to Aba standard gauge corridor.",infrastructure,infrastructure_transportation,railways_and_urban_transit,operational,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Nigerian Railway Corporation|Federal Ministry of Transportation,corridor,Rivers|Abia,2024-04-30,exact_day,"Scheduled daily passenger and cargo train runs operational connecting Port Harcourt terminal to Aba commercial depot",NRC operations log and on-site passenger service tickets
[ACH-2024-0015],"Completion and Handover of the Second Niger Bridge Onitsha and Asaba Dual-Carriageway Access Bypasses","Federal Ministry of Works completed the toll infrastructure and asphalt dualization of the 17.5km Asaba and Onitsha access bypasses connecting the Second Niger Bridge directly to the Asaba-Benin Expressway and Onitsha-Owerri Highway.",infrastructure,infrastructure_transportation,bridges_and_tunnels,completed,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Federal Ministry of Works|Julius Berger Nigeria Plc,project_site,Delta|Anambra,2024-05-23,exact_day,"Full vehicular access and bypass dualization commissioned",Ministry of Works completion certificate and verified traffic movement
[ACH-2024-0016],"Groundbreaking and Delivery of Renewed Hope Cities and Estates Phase 1","The Federal Ministry of Housing and Urban Development commenced construction of 3,112 housing units in Karsana Abuja under a Public-Private Partnership and rolled out 250-unit estates across 12 pilot states.",infrastructure,housing_urban_development,affordable_housing_schemes,implementation_ongoing,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Federal Ministry of Housing and Urban Development,multi_state,Abuja|Kano|Lagos|Ogun|Rivers|Enugu,2024-02-08,exact_day,"Over 3000 housing units under active structural construction in FCT and 3000 units in 12 states",Presidential groundbreaking and Ministry of Housing engineering inspection reports
[ACH-2024-0017],"National Housing Fund Digitalization and Single-Digit Interest Mortgage Reforms","Federal Mortgage Bank of Nigeria launched an automated digital portal for NHF contributors and adjusted maximum loan limits to N50 million with single-digit interest rates for low-income civil servants.",infrastructure,housing_urban_development,housing_finance_and_mortgages,operational,institutional_reform_milestone,actual,government_reported,source_confirmed,published,Federal Mortgage Bank of Nigeria|Federal Ministry of Housing,national,National,2024-04-18,exact_day,"Digitalization of NHF contributions and disbursement of over N15 Billion in home renovation and mortgage loans",FMBN administrative circular and annual operations review
[ACH-2024-0018],"Enactment of the Access to Higher Education (Repeal and Re-enactment) Act 2024","President Tinubu signed into law the revised Student Loan Act 2024, removing family income thresholds, creating the Nigeria Education Loan Fund (NELFUND) as a corporate entity, and establishing dedicated financing from 1% of federal revenue.",social_services,education_human_capital,student_loans_and_financial_aid,enacted,statutory_legal_enactment,actual,government_reported,independently_corroborated,published,Presidency|National Assembly|NELFUND,national,National,2024-04-03,exact_day,"Legal framework operationalized removing all stringent guarantor requirements for tertiary students",Official Gazette of the Federal Republic of Nigeria Vol 111 No 56
[ACH-2024-0019],"NELFUND Tertiary Institutional Fee and Student Living Stipend Disbursements","NELFUND processed applications for over 350,000 tertiary students and disbursed over N10 Billion in 100% direct tuition fees to federal and state universities, plus monthly living stipends of N20,000 per student.",social_services,education_human_capital,student_loans_and_financial_aid,operational,verified_administrative_disbursement,actual,government_reported,independently_corroborated,published,NELFUND|Central Bank of Nigeria|Federal Ministry of Education,national,All 36 States|FCT,2024-08-10,exact_day,"Over N10 Billion in institutional fees disbursed across 100+ public universities and polytechnics",NELFUND public disbursement portal and university registrar receipt confirmations
[ACH-2024-0020],"Universal Basic Education Commission Matching Grant Policy Reform and Fund Releases","UBEC restructured the state counterpart funding rules and released over N50 Billion in basic education matching grants to eligible states for classroom rehabilitation, primary school teacher training, and computer laboratories.",social_services,education_human_capital,basic_education_infrastructure,outcome_reported,verified_administrative_disbursement,actual,government_reported,independently_corroborated,published,Universal Basic Education Commission|Federal Ministry of Education,national,All 36 States|FCT,2024-06-15,exact_day,"Rehabilitation of over 2000 basic classrooms and provision of instructional materials across 36 states",UBEC statutory disbursement logs and State Universal Basic Education Board reports
[ACH-2024-0021],"Presidential Executive Order 041 on Local Pharmaceutical Manufacturing Fiscal Incentives","President Tinubu issued Executive Order 041 granting zero tariffs, VAT waivers, and customs duty exemptions on imported active pharmaceutical ingredients (APIs), medical consumables, and pharmaceutical manufacturing machinery.",social_services,healthcare_public_health,pharmaceutical_manufacturing_and_medical_supplies,enacted,statutory_legal_enactment,actual,government_reported,independently_corroborated,published,Presidency|Federal Ministry of Health and Social Welfare|Ministry of Finance,national,National,2024-06-28,exact_day,"Implementation of zero-tariff fiscal incentives lowering local production costs for essential medicines",Federal Republic of Nigeria Official Gazette and PMG-MAN industry reception
[ACH-2024-0022],"Revitalization and Infrastructure Upgrading of Primary Healthcare Centres Nationwide","Federal Ministry of Health and Social Welfare in partnership with the Global Fund and Gavi commenced the infrastructural upgrading, solar electrification, and digitization of 8,800 Primary Healthcare Centres across Nigeria.",social_services,healthcare_public_health,primary_healthcare_infrastructure,implementation_ongoing,direct_physical_delivery,actual,government_reported,independently_corroborated,published,National Primary Health Care Development Agency|Federal Ministry of Health,national,All 36 States|FCT,2024-05-15,exact_day,"Upgrading and solar-power installation on first cohort of 2500 primary health centres",NPHCDA operational report and Global Fund co-financing agreement
[ACH-2024-0023],"Disbursement of the Presidential Conditional Grant Scheme to 1 Million Nano-Businesses","The Federal Ministry of Industry, Trade and Investment, through the Bank of Industry, disbursed non-repayable grants of N50,000 each to over 1,000,000 verified nano-businesses across all 774 Local Government Areas.",social_services,social_protection_human_development,nano_and_micro_business_grants,operational,verified_administrative_disbursement,actual,government_reported,independently_corroborated,published,Federal Ministry of Industry Trade and Investment|Bank of Industry,national,All 774 LGAs,2024-07-25,exact_day,"Over N50 Billion credited directly to verified bank accounts of 1000000 nano entrepreneurs across 774 LGAs",Bank of Industry payment gateway logs and SMEDAN enterprise register
[ACH-2024-0024],"Operationalization and Credit Disbursement Rollout of the Nigerian Consumer Credit Corporation","The Nigerian Consumer Credit Corporation (CREDICORP) established a credit-guarantee fund and commenced direct consumer credit disbursements to civil servants and private sector workers for CNG conversions, solar units, and household assets.",social_services,social_protection_human_development,consumer_credit_and_welfare,operational,verified_administrative_disbursement,actual,government_reported,independently_corroborated,published,CREDICORP|Central Bank of Nigeria,national,National,2024-08-05,exact_day,"First wave of consumer credit disbursed to over 25000 public and private sector beneficiaries",CREDICORP disbursement logs and participating financial institution reports
[ACH-2024-0025],"Biometric Restructuring and Digitization of the National Social Safety Net Register","Federal Ministry of Humanitarian Affairs and Poverty Alleviation biometric-cleaned the National Social Register, integrating National Identification Numbers (NIN) and Bank Verification Numbers (BVN) to eliminate ghost beneficiaries.",social_services,social_protection_human_development,social_safety_net_and_cash_transfers,outcome_reported,institutional_reform_milestone,actual,government_reported,independently_corroborated,published,Federal Ministry of Humanitarian Affairs|National Social Safety Nets Coordinating Office|World Bank,national,National,2024-04-30,exact_day,"15 million vulnerable households validated with mandatory NIN/BVN digital identity integration",World Bank Social Safety Net Project review and NASSCO administrative registry
[ACH-2024-0026],"Recapitalization and Restructuring of the National Youth Investment Fund to N110 Billion","Federal Executive Council approved the institutional restructuring and recapitalization of the National Youth Investment Fund (NYIF) to N110 Billion under the Federal Ministry of Youth Development to provide low-interest equity and loan capital.",social_services,youth_employment_skills,youth_enterprise_and_capital,approved,verified_administrative_disbursement,actual,government_reported,independently_corroborated,published,Federal Ministry of Youth Development|Bank of Industry|FEC,national,National,2024-05-22,exact_day,"Recapitalized fund structured to provide N3 Billion in initial credit lines to youth-led MSMEs",FEC resolution extract and Ministry of Youth operational guidelines
[ACH-2024-0027],"Rollout of the Presidential Initiative on Youth Enterprise Clusters in Agriculture and ICT","Federal Ministry of Youth Development launched structured enterprise clusters across the six geopolitical zones, training and seed-funding 10,000 youth in agro-processing, renewable energy, and ICT hardware assembly.",social_services,youth_employment_skills,skills_acquisition_and_clusters,implementation_ongoing,direct_physical_delivery,actual,government_reported,source_confirmed,published,Federal Ministry of Youth Development|SMEDAN,multi_state,Oyo|Kano|Enugu|Plateau|Cross River|Borno,2024-07-10,exact_day,"10000 youth enrolled into enterprise clusters with toolkits and seed grants distributed",Ministry of Youth quarterly bulletin and SMEDAN zonal reports
[ACH-2024-0028],"Supreme Court Landmark Judgment Affirming Local Government Financial Autonomy","The Supreme Court of Nigeria in SC/CV/343/2024 ruled that federal allocations to the 774 Local Government Councils must be paid directly into council accounts, barring state governments from withholding or diverting joint allocations.",governance,governance_public_service,judicial_and_constitutional_reforms,enacted,statutory_legal_enactment,actual,independently_reported,independently_corroborated,published,Supreme Court of Nigeria|Federal Ministry of Justice|FAAC,national,National,2024-07-11,exact_day,"Enforcement of direct FAAC disbursements to 774 LGAs altering sub-national fiscal federalism",Supreme Court Judgment in SC/CV/343/2024 and Federal Ministry of Justice implementation guidelines
[ACH-2024-0029],"Federal Civil Service Integrated Personnel and Payroll System (IPPIS) Forensic Audit","The Federal Government completed a comprehensive forensic audit of the IPPIS payroll, removing over 50,000 unverified ghost worker entries and generating annual wage-bill savings exceeding N120 Billion.",governance,governance_public_service,civil_service_digitization,outcome_reported,institutional_reform_milestone,actual,government_reported,independently_corroborated,published,Office of the Head of the Civil Service of the Federation|Office of the Accountant General,national,National,2024-03-31,exact_day,"Removal of ghost worker accounts saving over N120 Billion annually in personnel expenditure",OHCSF audit briefing and Office of the Accountant-General annual financial report
[ACH-2024-0030],"Resolution of Nigeria-UAE Bilateral Aviation Accord and Resumption of Diplomatic Relations","High-level diplomatic negotiations led by President Bola Ahmed Tinubu resulted in the lifting of UAE visa restrictions on Nigerian travelers, clearing of bilateral airline funds, and resumption of Emirates Airlines scheduled flights to Lagos.",governance,foreign_affairs_international_cooperation,diplomatic_and_bilateral_relations,completed,official_policy_declaration,actual,government_reported,independently_corroborated,published,Federal Ministry of Aviation and Aerospace Development|Ministry of Foreign Affairs,national,National,2024-07-15,exact_day,"Full restoration of commercial air services and reciprocal visa processing frameworks",Bilateral diplomatic communique and Emirates Airline official flight resumption notice
