claim_id,record_id,claim_type,claim_text,value_nature,reporting_origin,numeric_value,unit,date_value,date_precision,reporting_period,verification_status,notes
[CLM-2023-0011],[ACH-2023-0009],beneficiary_value,"30,000 technical fellows trained and certified in Phase 1 across 12 digital tech disciplines in 36 states",actual,government_reported,30000,fellows,2024-02-29,exact_day,2024-Q1,independently_corroborated,NITDA 3MTT Cohort-1 Report
[CLM-2023-0012],[ACH-2023-0010],policy_action,"Federal Executive Council approved dedicated Special Purpose Vehicle for 90,000km national terrestrial fiber optic deployment",actual,government_reported,,,2024-05-13,exact_day,2024-Q2,source_confirmed,FEC resolution extract
[CLM-2023-0013],[ACH-2023-0011],institutional_responsibility,"Inauguration of the National Council for Digital Innovation and Entrepreneurship operationalizing Nigeria Startup Act",actual,government_reported,,,2024-06-04,exact_day,2024-Q2,source_confirmed,Presidency inauguration charter
[CLM-2024-0014],[ACH-2024-0012],project_status,"Civil works and concrete paving completed on initial 10km of 47.47km Lagos-Calabar Coastal Highway Section 1",actual,government_reported,10,kilometers,2024-06-30,exact_day,2024-Q2,independently_corroborated,Ministry of Works civil engineering inspection
[CLM-2024-0015],[ACH-2024-0013],project_status,"President Tinubu commissioned the rehabilitated 27.2km Abuja Light Rail network for scheduled passenger service",actual,government_reported,27.2,kilometers,2024-05-29,exact_day,2024-Q2,source_confirmed,FCTA Metro commissioning report
[CLM-2024-0016],[ACH-2024-0014],project_status,"Scheduled commercial train operations recommenced on the 62km Port Harcourt to Aba standard gauge corridor",actual,government_reported,62,kilometers,2024-04-30,exact_day,2024-Q2,source_confirmed,NRC operations manifest
[CLM-2024-0017],[ACH-2024-0015],project_status,"17.5km dualized access bypasses completed connecting Second Niger Bridge to Onitsha and Asaba expressways",actual,government_reported,17.5,kilometers,2024-05-23,exact_day,2024-Q2,source_confirmed,Ministry of Works completion certificate
[CLM-2024-0018],[ACH-2024-0016],project_status,"3,112 residential housing units under active structural construction in Karsana Abuja under Renewed Hope Cities Phase 1",actual,government_reported,3112,housing units,2024-06-15,exact_day,2024-Q2,independently_corroborated,Ministry of Housing engineering progress report
[CLM-2024-0019],[ACH-2024-0017],reported_outcome,"Over N15 Billion in single-digit mortgage loans disbursed following digital automation of National Housing Fund",actual,government_reported,15,NGN Billion,2024-04-18,exact_day,2024-Q2,source_confirmed,FMBN operational circular
[CLM-2024-0020],[ACH-2024-0018],legal_status,"Enactment of Student Loan Act 2024 removing family income restrictions and establishing NELFUND with 1% federal revenue statutory funding",actual,government_reported,,,2024-04-03,exact_day,2024-Q2,source_confirmed,Official Gazette Vol 111 No 56
[CLM-2024-0021],[ACH-2024-0019],financial_value,"NELFUND disbursed over N10 Billion in 100 percent institutional tuition fees to public tertiary institutions",actual,government_reported,10,NGN Billion,2024-08-10,exact_day,2024-Q3,independently_corroborated,NELFUND disbursement portal and university receipts
[CLM-2024-0022],[ACH-2024-0019],beneficiary_value,"Over 350,000 public tertiary students registered and processed on the NELFUND portal",actual,government_reported,350000,students,2024-08-10,exact_day,2024-Q3,independently_corroborated,NELFUND portal registry logs
[CLM-2024-0023],[ACH-2024-0020],financial_value,"UBEC released over N50 Billion in basic education counterpart matching grants to 36 states for classroom rehabilitation",actual,government_reported,50,NGN Billion,2024-06-15,exact_day,2024-Q2,source_confirmed,UBEC annual matching grant report
[CLM-2024-0024],[ACH-2024-0021],legal_status,"Presidential Executive Order 041 granted zero tariffs, VAT waivers, and customs duty exemptions on imported active pharmaceutical ingredients",actual,government_reported,,,2024-06-28,exact_day,2024-Q2,source_confirmed,Official Gazette Vol 111 No 72
[CLM-2024-0025],[ACH-2024-0022],project_status,"Civil works, solar power installation, and digital diagnostic equipping commenced on 2,500 Primary Healthcare Centres nationwide",actual,government_reported,2500,facilities,2024-05-15,exact_day,2024-Q2,independently_corroborated,NPHCDA PHC revitalization report
[CLM-2024-0026],[ACH-2024-0023],beneficiary_value,"1,000,000 verified nano-entrepreneurs across all 774 Local Government Areas received non-repayable grants of N50,000 each",actual,government_reported,1000000,beneficiaries,2024-07-25,exact_day,2024-Q3,independently_corroborated,Bank of Industry PCGS payment gateway logs
[CLM-2024-0027],[ACH-2024-0024],beneficiary_value,"Over 25,000 civil servants and private sector workers received first wave of consumer credit loans through CREDICORP",actual,government_reported,25000,beneficiaries,2024-08-05,exact_day,2024-Q3,source_confirmed,CREDICORP pilot report
[CLM-2024-0028],[ACH-2024-0025],institutional_responsibility,"Biometric cleaning and mandatory NIN/BVN integration completed on National Social Register covering 15 million vulnerable households",actual,government_reported,15,million households,2024-04-30,exact_day,2024-Q2,independently_corroborated,World Bank Social Safety Net Review
[CLM-2024-0029],[ACH-2024-0026],financial_value,"Federal Executive Council approved recapitalization and restructuring of the National Youth Investment Fund to N110 Billion",actual,government_reported,110,NGN Billion,2024-05-22,exact_day,2024-Q2,source_confirmed,FEC approval memo YD/2024/04
[CLM-2024-0030],[ACH-2024-0027],beneficiary_value,"10,000 youth enrolled in structured enterprise clusters across six geopolitical zones with seed capital and tools",actual,government_reported,10000,youth,2024-07-10,exact_day,2024-Q3,source_confirmed,SMEDAN zonal enterprise bulletin
[CLM-2024-0031],[ACH-2024-0028],legal_status,"Supreme Court in SC/CV/343/2024 ruled that federal allocations to 774 LGAs must be paid directly into local council bank accounts",actual,independently_reported,,,2024-07-11,exact_day,2024-Q3,independently_corroborated,Supreme Court Judgment in SC/CV/343/2024
[CLM-2024-0032],[ACH-2024-0029],reported_outcome,"Forensic audit of the federal IPPIS payroll removed 50,000 ghost worker accounts saving over N120 Billion annually",actual,government_reported,50000,accounts,2024-03-31,exact_day,2024-Q1,independently_corroborated,OHCSF audit report and Accountant-General statement
[CLM-2024-0033],[ACH-2024-0030],legal_status,"Nigeria and UAE signed bilateral aviation accord lifting travel restrictions and resuming Emirates Airlines scheduled flights to Lagos",actual,government_reported,,,2024-07-15,exact_day,2024-Q3,independently_corroborated,Bilateral Aviation Accord Communique
