"record_id","title","canonical_scope","existing_db_geographies","research_states","proposed_geographies","relationship_type","supporting_source_or_claim","action"
"[ACH-2024-0027]","Rollout of the Presidential Initiative on Youth Enterprise Clusters in Agriculture and ICT","multi_state","NG-OY;NG-KN;NG-EN;NG-PL;NG-CR;NG-BO","Oyo State;Kano State;Enugu State;Plateau State;Cross River State;Borno State","NG-OY;NG-KN;NG-EN;NG-PL;NG-CR;NG-BO","multi_state","Accepted M03 Certified Public Corpus","KEEP_MULTI_STATE"
"[ACH-2024-0028]","Supreme Court Landmark Judgment Affirming Local Government Financial Autonomy","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0029]","Federal Civil Service Integrated Personnel and Payroll System (IPPIS) Forensic Audit","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0030]","Resolution of Nigeria-UAE Bilateral Aviation Accord and Resumption of Diplomatic Relations","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0031]","Enactment of Nigeria Data Protection Act 2023 and Establishment of NDPC","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0032]","Enactment and Gazetting of Four National Tax Reform Bills","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0033]","Centralized International Passport Personalization & 204,000 Backlog Clearance","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0034]","Federal Technical and Vocational Education Training (TVET) Skills Upgrading Programme","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0035]","Bank of Industry (BOI) N644.9 Billion Industrial & MSME Credit Expansion","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0036]","Issuance and Allotment of DMO Series III Sovereign Green Bond (N50 Billion)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0037]","Election of Nigeria to the International Maritime Organization (IMO) Council Category C","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0038]","TETFund High-Impact Tertiary Infrastructure Commissioning Packages Nationwide","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0039]","Completion and Commissioning of Wuye Flyover and Interchange Link Bridge","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0040]","Construction and Commissioning of 15km A2-Pai Town Arterial Road in Kwali Area Council","fct","NGA","Federal Capital Territory","NG-FC","fct_specific","FCTA Kwali Area Council Road Infrastructure Commissioning","ADD_FCT_RELATIONSHIP"
"[ACH-2024-0041]","Delivery and Handover of Tudun Biri Resettlement Scheme in Kaduna State","state","NGA","Kaduna","NG-KD","state_specific","Federal Ministry of Housing Tudun Biri Resettlement Handover","ADD_STATE_RELATIONSHIP"
"[ACH-2024-0042]","Adoption of National Carbon Market Activation Framework & Carbon Registry Launch","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0043]","Operational Deployment and Fund Commitments under the $618M iDICE Programme","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0044]","Inauguration and Commissioning of Three Major Domestic Gas Infrastructure Projects","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0045]","National Agricultural Development Fund (NADF) 515,720 Fertiliser Bags Distribution","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0046]","Expansion of Emergency Maternal/Newborn Transport and CEmONC Services Nationwide","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0047]","Nigeria Customs Service 2024 Record Revenue Mobilization (N6.105 Trillion)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0048]","Authorized Economic Operator (AEO) Deployment & Maiden AfCFTA Commercial Shipment","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0049]","Nigerian Ports Cargo Throughput Expansion (103.34 Million Metric Tons in 2024)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0050]","$1 Billion Multi-Port Modernization Programme (Tin Can Island, Apapa, Onne, Warri)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0051]","Inland Waterways Transportation Safety Code & 350 River Marshals Enforcement","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0052]","Rural Electrification Agency (REA) NEP Delivery: 180 Mini-Grids & 1.19M Connections","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0053]","Completion and Commissioning of Three Federal Dams (Odo-Ape, Rafin Yashin, Amla Otukpo)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0054]","TRIMING Project: Delivery of 9,490 Hectares of Gravity-Fed Modernized Irrigation","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0055]","Construction and Commissioning of 565 Rural & Regional Water Supply Schemes","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0056]","Clean Nigeria Campaign: 40 Additional Local Government Areas Attain ODF Status","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0057]","Commissioning of Greater Abuja Water Supply Network Phase II (Loops 1, 2, 5, 6)","fct","NGA","Federal Capital Territory","NG-FC","fct_specific","FCTA Greater Abuja Water Supply Phase II Commissioning Gazette","ADD_FCT_RELATIONSHIP"
"[ACH-2024-0058]","Kashimbila 40MW Multipurpose Hydropower Plant Grid Synchronization (INHERITED_COMPLETED)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0059]","Cape Town Convention IDERA Aviation Leasing Compliance Index Reform (49 to 75.5)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0060]","Maiduguri Airport International Upgrade & National Flight Data Centre Launch","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0061]","Solid Minerals Revenue Surge (Over N38 Billion in 2024) & Mining Cadastre Expansion","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0062]","Mining Marshals Special Operations: 98 Illegal Mining Sites Recovered & 327 Arrests","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0063]","Mandatory Domestic Mineral Value-Addition Policy & Over $800M Lithium Processing Investments","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0064]","Federal Rural Agricultural Infrastructure: 170km Rural Roads & 296 Solar Boreholes","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0065]","Delivery of 10 Integrated Agro-Processing Facilities & 7 Specialized Flour Mills","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0066]","Special Agro-Industrial Processing Zones (SAPZ) Phase 1 Implementation","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0067]","NAIC Agricultural Risk Protection: N700 Billion Insurance Cover for 199,275 Farmers","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0068]","National Veterinary Research Institute (NVRI) Vaccine Production Surge (>35M Doses in Q1 2026)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0069]","Establishment and Institutional Operationalization of Federal Ministry of Livestock Development","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0070]","Approval and Execution of $2.65 Billion World Bank Human Capital & Infrastructure Facilities","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0071]","National Nursing & Midwifery Training Capacity Expansion (28,000 to 115,000 Annual Admissions)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0072]","National Polio Surveillance & High-Risk Immunization: 46% Reduction in cVPV2 Detections","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0073]","NHIA Free Obstetric Fistula Surgical Treatment Programme for 3,000 Women","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0074]","Enactment of Judicial Office Holders (Salaries and Allowances) Act 2024 (300% Statutory Increase)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0075]","Appointment and Swearing-in of 11 Supreme Court Justices Restoring Full 21-Bench Complement","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0076]","Federal Civil Service Digitalization: 1Gov Cloud ECMS & 59,344 Official Civil Service Email Accounts","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0077]","ICPC Anti-Corruption Asset Recovery: N37.44 Billion & $2.35 Million Forfeited to Federation","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0078]","Multilateral Compliance Milestone: Nigeria Delisted from FATF Grey List & EU High-Risk AML/CFT List","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0079]","Diplomatic Status Elevation: Nigeria Admitted as Official BRICS Partner Country","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0080]","National Bureau of Statistics (NBS) Comprehensive GDP and CPI National Rebasing","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0081]","Central Bank Banking Sector Recapitalization: $3.4 Billion (N5.2 Trillion) Fresh Equity Raised","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2023-0001]","Electricity Act 2023","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2023-0002]","Foreign Exchange Market Window Unification Directive","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0003]","Presidential Executive Order 040 (Oil and Gas Fiscal Incentives)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0004]","Access to Higher Education (Repeal and Re-enactment) Act 2024","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0005]","Presidential Executive Order 041 (Pharmaceutical and Healthcare Fiscal Waivers)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0006]","Supreme Court Direct Allocation Fiscal Enforcement Directive","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0007]","National Broadband SPV Governance Framework","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0008]","National Youth Investment Fund Restructuring Policy","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0009]","National Primary Healthcare Revival Blueprint","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[POL-2024-0010]","Consumer Credit Governance and Guarantee Charter","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0001]","National Student Financial Aid Scheme (NELFUND)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0002]","Presidential Conditional Grant Scheme (PCGS)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0003]","Nigerian Consumer Credit Corporation (CREDICORP)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0004]","3 Million Technical Talent (3MTT) Programme","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0005]","National Dry-Season Wheat Initiative (NAGS-AP)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0006]","Presidential Compressed Natural Gas Initiative (Pi-CNG)","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0007]","National Youth Investment Fund (NYIF) Recapitalization","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRG-2024-0008]","National Social Safety Net Digital Cash Transfer Programme","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRJ-2024-0001]","Lagos-Calabar Coastal Highway Construction (Section 1: 47.47km)","corridor","NG-LA;NG-OG","Lagos;Ogun;Ondo;Edo;Delta;Bayelsa;Rivers;Akwa Ibom;Cross River","NG-LA;NG-OG;NG-ON;NG-ED;NG-DE;NG-BY;NG-RI;NG-AK;NG-CR","corridor","Federal Ministry of Works 700km Coastal Highway Award","ADD_CORRIDOR_RELATIONSHIP"
"[PRJ-2024-0002]","Abuja Light Rail Commercial Network Rehabilitation","fct","NG-FC","Federal Capital Territory","NG-FC","fct_specific","Federal Ministry of Transportation / FCTA Metro Operations Gazette","KEEP_FCT"
"[PRJ-2024-0003]","Port Harcourt - Aba Standard Gauge Rail Rehabilitation","corridor","NG-RI;NG-AB","Rivers;Abia","NG-RI;NG-AB","corridor","Nigerian Railway Corporation Commercial Freight Recommencement","ADD_CORRIDOR_RELATIONSHIP"
"[PRJ-2024-0004]","Second Niger Bridge Access Roads and Toll Plaza Dualization","multi_state","NG-DE;NG-AN","Delta State;Anambra State","NG-DE;NG-AN","multi_state","Accepted M03 Certified Public Corpus","KEEP_MULTI_STATE"
"[PRJ-2024-0005]","Renewed Hope Cities and Estates Phase 1 (Karsana Abuja)","fct","NG-FC","Federal Capital Territory","NG-FC","fct_specific","Accepted M03 Certified Public Corpus","KEEP_STATE"
"[PRJ-2024-0006]","National Primary Healthcare Centre Solar Electrification and Upgrading","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[PRJ-2024-0007]","Presidential CNG Conversion Centre Network","multi_state","NG-LA;NG-FC;NG-OG;NG-RI;NG-ED;NG-KN","Lagos State;Federal Capital Territory;Ogun State;Rivers State;Edo State;Kano State","NG-LA;NG-FC;NG-OG;NG-RI;NG-ED;NG-KN","multi_state","Accepted M03 Certified Public Corpus","KEEP_MULTI_STATE"
"[PRJ-2024-0008]","Kano Inland Dry Port Agro-Logistics and Customs Terminal","state","NG-KN","Kano State","NG-KN","state_specific","Accepted M03 Certified Public Corpus","KEEP_STATE"
